calc_version,year,style,style_name,style_order,horizon,horizon_months,signal_type,signal_name,month_count,factor_count,factor_month_obs,win_rate,ic_std,is_partial_year,metric,metric_name,value
v1,2022,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.25,0.067453,False,IC,IC Mean,-0.039199
v1,2022,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.833333,0.055337,False,IC,IC Mean,0.0562
v1,2022,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,1.0,0.068656,False,IC,IC Mean,0.127541
v1,2023,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.916667,0.060592,False,IC,IC Mean,0.089911
v1,2023,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,0.916667,0.012712,False,IC,IC Mean,0.023064
v1,2023,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.25,0.056649,False,IC,IC Mean,-0.00268
v1,2023,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.583333,0.059297,False,IC,IC Mean,0.002918
v1,2023,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.666667,0.052499,False,IC,IC Mean,0.040128
v1,2023,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,1.0,0.062157,False,IC,IC Mean,0.118939
v1,2024,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.75,0.084923,False,IC,IC Mean,0.051949
v1,2024,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,0.583333,0.054377,False,IC,IC Mean,0.020315
v1,2024,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.75,0.052182,False,IC,IC Mean,0.036325
v1,2024,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.416667,0.084128,False,IC,IC Mean,-0.044416
v1,2024,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.833333,0.051702,False,IC,IC Mean,0.037829
v1,2024,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,0.833333,0.067466,False,IC,IC Mean,0.079291
v1,2025,value,价值,1,3M,3,neutralized,Neutralized,12,5,60,0.75,0.044425,False,IC,IC Mean,0.034985
v1,2025,quality,质量,2,3M,3,neutralized,Neutralized,12,4,48,0.833333,0.014932,False,IC,IC Mean,0.0083
v1,2025,growth,成长,3,3M,3,neutralized,Neutralized,12,3,36,0.583333,0.041365,False,IC,IC Mean,0.021952
v1,2025,momentum,动量,4,3M,3,neutralized,Neutralized,12,1,12,0.333333,0.057771,False,IC,IC Mean,-0.021231
v1,2025,reversal,反转,5,3M,3,neutralized,Neutralized,12,2,24,0.916667,0.027888,False,IC,IC Mean,0.04454
v1,2025,risk,风险,6,3M,3,neutralized,Neutralized,12,3,36,0.916667,0.056079,False,IC,IC Mean,0.082328
v1,2026,value,价值,1,3M,3,neutralized,Neutralized,3,5,15,0.0,0.004817,True,IC,IC Mean,-0.018606
v1,2026,quality,质量,2,3M,3,neutralized,Neutralized,3,4,12,0.666667,0.009171,True,IC,IC Mean,0.001295
v1,2026,growth,成长,3,3M,3,neutralized,Neutralized,3,3,9,1.0,0.012121,True,IC,IC Mean,0.034347
v1,2026,momentum,动量,4,3M,3,neutralized,Neutralized,3,1,3,1.0,0.019598,True,IC,IC Mean,0.07183
v1,2026,reversal,反转,5,3M,3,neutralized,Neutralized,3,2,6,0.666667,0.024649,True,IC,IC Mean,0.021884
v1,2026,risk,风险,6,3M,3,neutralized,Neutralized,3,3,9,0.666667,0.031204,True,IC,IC Mean,0.001426
